asin,coupon,page_num,position_num,price_initial,price_true,rate,reviews,sellername,title
B000VESM46,False,1,0,,$49.99,4.2,,"by ,Pinzon by Amazon,(4-5 days),In stock on August 7, 2018,FREE Shipping on eligible orders","<span class=""a-offscreen"">[Sponsored]</span>Pinzon Hypoallergenic Overfilled Microplush Mattress Topper - Queen"
B073TZ8WL3,False,1,1,,$69.90,4.3,,"by ,LEISURE TOWN,FREE Shipping on eligible orders","<span class=""a-offscreen"">[Sponsored]</span>LEISURE TOWN King Overfilled Mattress Pad Cover ❤️8-21”Deep Pocket❤️Cooling Fitted Mattress Topper Snow Down Alternative Fill❤️Cooling"
B0711X8LTF,False,1,2,,$45.80,4.3,,"by ,Fairyland,FREE Shipping on eligible orders","<span class=""a-offscreen"">[Sponsored]</span>Hypoallergenic Quilted Mattress Pad Cover with 300TC 100% Cotton Down Alternative Filled Mattress Topper,8-21 Inch Deep Pocket Mattress Cover (California King)"
B005LRRPZA,False,1,3,,$9.12,4.5,,,"AmazonBasics Hypoallergenic Quilted Mattress Pad, 18"" Deep, Twin-XL"
B00NESCOY0,False,1,4,,$24.99,4.6,"5,773","by ,Utopia Bedding,FREE Shipping on eligible orders",Utopia Bedding Quilted Fitted Mattress Pad (Queen) - Mattress Cover Stretches up to 16 Inches Deep - Mattress Topper
B00MV1DB6Q,False,1,5,$41.95,$24.95,4.7,"4,969","by ,Hanna Kay,More Buying Choices,<span class=""a-color-secondary"">FREE Shipping on eligible orders","Hanna Kay Hypoallergenic Quilted Stretch-to-Fit Mattress Pad By, 10 Year Warranty-Clyne Collection (Queen)"
B073TZF8BL,True,1,6,,$49.90,,,"by ,LEISURE TOWN,<span class=""a-color-secondary"">FREE Shipping on eligible orders",LEISURE TOWN Queen Overfilled Mattress Pad Cover ❤️8-21”Deep Pocket❤️Cooling Mattress Topper Snow Down Alternative Fill❤️Cooling
B0756VY391,False,1,7,,$39.95,4.4,381,"by ,Oaskys,FREE Shipping on eligible orders","Oaskys Mattress Pad Cover Cotton Top with Stretches to 18” Deep Pocket Fits Up to 8”-21” Cooling White Bed Topper (Down Alternative, Queen)"
B01F53H6TE,False,1,8,,$45.99,4.3,742,"by ,Balichun,More Buying Choices,<span class=""a-color-secondary"">FREE Shipping on eligible orders",Balichun Mattress Pad Cover Queen Size Pillowtop 300TC Down Alternative Mattress Topper with 8-21-Inch Deep Pocket
B0741222B8,False,1,9,,,4.3,,"by ,EASELAND","EASELAND Quilted Fitted Cooling Mattress Pad (Full)-Mattress Cover Stretches up 8-21"" Deep Pocket Down Alternative Filling Mattress Topper"
